"" "" "ptsT"
"1" 331823.360545322 385753.603471224 557
"2" 329355.427654717 379027.314331681 663
"3" 329145.46522518 379547.63613259 702
"4" 335193.427147697 382725.242775475 206
"5" 330483.189690305 383938.05516392 666
"6" 327609.966655277 375768.848021537 147
"7" 329336.237533462 369430.177405226 190
"8" 328734.443724848 371604.413592571 402
"9" 332858.063896771 382515.842736016 664
"10" 331981.806067629 378994.524418888 514
"11" 331541.164280634 376220.930553982 591
"12" 330174.038876321 376333.860111078 363
"13" 326950.040944523 379813.458082884 417
"14" 328269.617249252 376050.422408594 443
"15" 333893.807410508 382115.438631173 415
"16" 330206.485387973 370586.206988708 418
"17" 330665.195351649 384036.804919755 246
"18" 334634.630523807 379124.68950961 216
"19" 333873.23584725 377333.90646413 682
"20" 334716.445394811 383167.826440212 280
"21" 331296.476597461 377472.551813821 722
"22" 332470.584434168 375380.611009083 521
"23" 328899.263481735 369466.472535702 199
"24" 333585.068775301 382470.787191404 391
"25" 334784.000585538 382845.394188175 427
"26" 333659.747188173 386566.703166535 706
"27" 330522.786620264 377378.357914527 421
"28" 326629.348196595 378297.449931138 296
"29" 328818.693300131 382385.616150325 659
"30" 334521.770428636 381046.659820902 431
"31" 327590.48980303 370707.008545345 620
"32" 330077.063523115 384620.341658017 228
"33" 331721.308896881 379504.877125627 619
"34" 330846.734197094 376597.083979389 266
"35" 333596.275420234 384122.635485435 480
"36" 333392.920638326 382844.156816448 456
"37" 333423.692738082 383213.008621556 306
"38" 332401.71732692 382808.081038882 440
"39" 326147.504702027 374910.415008483 631
"40" 332339.266834571 381925.540201529 154
"41" 327331.723513871 376321.295446567 587
"42" 332064.581175003 382700.037270454 314
"43" 329299.974865329 375447.102828295 393
"44" 333143.261266037 380535.030137172 227
"45" 326425.354751949 374532.890629618 317
"46" 329640.124076032 380099.535054677 326
"47" 329060.829861496 372908.626198743 358
"48" 332544.750499072 377519.118396178 234
"49" 329477.194709171 374618.148420612 577
"50" 332939.969158723 383555.110754378 714
"51" 326616.635498262 372848.419536265 490
"52" 328283.383325459 377698.715824179 439
"53" 326918.021268814 380432.791654674 701
"54" 333587.148644282 386084.548946393 582
"55" 330744.717136298 383046.682706084 556
"56" 327345.011394562 373852.837109002 155
"57" 331746.76960538 378154.574746561 511
"58" 330062.681220409 385370.813978949 628
"59" 330029.892868051 380279.379955237 178
"60" 327116.482968343 382173.104201774 155
"61" 329669.843471102 371860.481086693 94
"62" 330790.915304989 383473.325717443 47
"63" 333250.996460355 385859.505686307 457
"64" 328560.788070937 378471.751480369 17
"65" 332103.241532211 378844.918279276 277
"66" 329830.873642079 375999.565086304 463
"67" 332382.447004355 376244.04129725 724
"68" 329324.711990654 382380.96679551 367
"69" 327550.605203693 382040.14907181 257
"70" 332019.672177198 376680.603907374 595
"71" 333071.538554873 385526.064471801 391
"72" 330010.065678633 381748.924510821 347
"73" 329470.211466177 375178.631276107 613
"74" 333827.113327344 383246.009762416 255
"75" 335006.914457572 377964.367975066 275
"76" 325731.264945142 376995.667953825 703
"77" 327402.47504084 382234.540115605 220
"78" 336380.957475732 377724.016767068 504
"79" 333619.90968148 376876.893527882 7
"80" 330906.407257071 381608.484075622 442
"81" 331440.886261295 385786.109367539 548
"82" 331221.293636096 378341.322466291 215
"83" 324700.403123966 382059.043097033 258
"84" 329049.180839472 373779.260930858 31
"85" 335470.942024205 380122.777819957 437
"86" 331306.201726398 373340.21543009 604
"87" 330375.285396305 385104.910623798 670
"88" 337009.485119389 378826.088560092 122
"89" 328404.713605932 375905.414769781 385
"90" 331035.342542147 373362.325642174 550
"91" 333776.019016324 381616.616034417 305
"92" 333297.750798909 378386.553955338 534
"93" 329415.984013701 370848.341417339 382
"94" 334032.230447135 386508.757279879 465
"95" 328668.144256344 377273.809840105 390
"96" 334654.167456489 380445.725038726 662
"97" 334351.246284208 382440.81110693 396
"98" 336193.114743978 378272.290230037 722
"99" 330987.866238793 376604.54954456 67
"100" 328234.593959804 381206.741905511 528
"101" 330772.07149197 376552.381025297 105
"102" 327536.012954361 379460.26620394 228
"103" 328223.075832276 377400.083470218 267
"104" 330111.234884852 377018.665342559 563
"105" 335996.830019269 378994.43823208 100
"106" 326438.314599111 378290.951419041 712
"107" 332216.79564123 379907.394923377 487
"108" 331346.036703532 386049.994123529 172
"109" 332356.075450491 384118.565827959 724
"110" 329011.160392782 381687.440728341 358
"111" 329190.534244814 372819.879886665 317
"112" 329723.383458025 376483.800401657 123
"113" 335148.30049219 377821.877969766 320
"114" 329379.401108113 378632.948862935 549
"115" 331561.464358254 384093.732269178 239
"116" 329483.744421731 373233.749432174 208
"117" 327119.209925126 372725.357820543 320
"118" 325859.899154855 379102.541278798 42
"119" 328059.685228827 370079.470096744 437
"120" 334501.435389379 383015.203914288 148
"121" 335082.475639059 384521.741420763 87
"122" 330087.677645968 384503.988565182 24
"123" 335310.895715819 383885.853863727 538
"124" 327474.683859193 378539.853565 328
"125" 331292.111767994 376313.655349201 374
"126" 327604.874560497 375401.982244709 39
"127" 326637.244637715 373619.952364466 116
"128" 326399.142992118 377849.371874185 48
"129" 330770.916037536 381539.528582944 289
"130" 329266.633518655 383458.256697148 132
"131" 328606.982713884 374970.900731196 573
"132" 331494.326796416 385606.000981597 507
"133" 332004.313607379 376019.796126555 258
"134" 332799.44909019 382890.644429612 537
"135" 332021.295083322 383553.949035763 279
"136" 334730.137784002 378659.074084205 93
"137" 327699.518278767 374236.557838894 543
"138" 328501.929899666 376662.843986128 248
"139" 329183.45327039 369885.15929137 86
"140" 330801.455169635 374883.539097216 381
"141" 329777.318522 380051.792626846 95
"142" 325202.527540862 382243.65110916 561
"143" 334988.856443327 380999.883422717 355
"144" 327439.53706673 368919.360630459 447
"145" 329981.667009341 377868.33526448 50
"146" 328026.166666801 378518.582316796 93
"147" 331566.157554444 380447.93769116 643
"148" 325935.476836277 377562.247034381 389
"149" 331128.039223902 372869.974510455 383
"150" 327774.09579146 380211.290160662 238
"151" 330558.319962716 372791.723557192 510
"152" 328589.039923788 372034.159168111 142
"153" 327039.323132543 382205.141207891 473
"154" 327718.678908895 378271.86000212 108
"155" 331671.888508165 381966.507649113 184
"156" 331758.556478189 385894.805523397 469
"157" 328552.229085862 381391.113363118 472
"158" 331393.092185447 373966.637820986 254
"159" 336289.133060161 380195.915359316 245
"160" 333578.245013545 386320.791048071 671
"161" 328770.501995066 369411.738335513 4
"162" 330468.485626969 382909.782414671 52
"163" 330623.564944964 384125.582935707 29
"164" 328298.522231608 381405.728992093 484
"165" 332886.079538418 379643.643798277 371
"166" 327273.450160404 381458.264948263 130
"167" 336600.150386354 378470.5711345 465
"168" 329693.451447371 385847.503057208 535
"169" 328949.875333706 380700.134340683 701
"170" 331194.33973619 374645.720556821 548
"171" 327696.22894042 377501.665127459 531
"172" 332820.57252578 378262.12680551 26
"173" 331155.287191883 386311.733683849 604
"174" 333317.434391634 382093.753190223 648
"175" 331351.954563444 378187.648613266 421
"176" 331909.093863564 378331.510988732 150
"177" 333998.999588486 378859.504939472 354
"178" 330063.544806533 386608.541809229 343
"179" 330734.227597643 379727.651444825 667
"180" 331659.741115349 375620.197981207 110
"181" 331292.282288855 373858.801419312 129
"182" 331962.647637265 383162.11422799 27
"183" 330436.886517702 386327.508175676 240
"184" 327297.327704741 373635.817467521 462
"185" 329960.72409385 375354.878166829 91
"186" 336334.420560285 379502.037506067 21
"187" 327083.260966552 379873.84549856 193
"188" 336658.258023084 377138.605379713 141
"189" 331913.462137175 377738.535197345 138
"190" 327946.772012909 372953.344584676 4
"191" 329034.813615523 370894.656978664 247
"192" 327826.935379437 376335.268524625 388
"193" 330794.431470691 380149.31418157 481
"194" 329751.945770088 373140.386814358 13
"195" 332135.86682319 386516.006571357 99
"196" 335002.096507186 382828.707036826 479
"197" 326922.531921937 382366.145386316 718
"198" 330078.623754646 371517.752250422 666
"199" 327274.679492251 379122.606461398 324
"200" 332455.302352919 376695.582017011 432
"201" 328289.448076611 380972.323625724 366
"202" 337097.644706646 378477.247973068 23
"203" 330612.303802307 381989.420142613 704
"204" 327366.168214216 380944.775810419 603
"205" 329593.100642001 371288.946217782 108
"206" 336854.315053452 378506.81491489 121
"207" 333545.684668323 377052.014881913 157
"208" 332101.30173078 384355.30047484 235
"209" 328138.718900318 370610.231035051 231
"210" 334010.09663618 382749.307973392 277
