"V1" "V2"
"1" 336099.702988745 377898.5684047
"2" 336160.049055573 378931.452213706
"3" 335811.803095544 378702.813010439
"4" 336549.522298098 378673.039263296
"5" 335942.772010761 378895.726530047
"6" 336122.034480536 378908.46246249
"7" 336008.115644763 378081.074268162
"8" 335897.224722931 378467.265739602
"9" 335844.542438575 378279.84548625
"10" 336042.937158458 378457.303610138
"11" 335557.679185373 378171.415931944
"12" 335985.896982114 378772.517739627
"13" 336077.751853163 378121.219486946
"14" 335967.644650319 378201.029710402
"15" 336174.08221836 378885.019313994
"16" 336074.274686347 378206.285021958
"17" 336287.823441979 378752.773268741
"18" 335900.116626463 378550.070394284
"19" 336006.111285142 377862.510260856
"20" 336047.894480296 378854.158659075
"21" 336297.454739124 378255.092126662
"22" 335936.292398077 377901.008854934
"23" 336346.246528074 378997.876642419
"24" 335833.776986626 378779.709081148
"25" 335828.139025757 377979.014428792
"26" 336010.267269881 378739.933531888
"27" 336384.192457262 378421.328984907
"28" 335743.027227225 378384.985955748
"29" 335830.806859764 378396.862647325
"30" 335780.751926492 378364.409142628
"31" 336156.831619522 378373.698505489
"32" 335883.739333343 377920.762003696
"33" 336284.425690436 378986.550181167
"34" 335698.006880524 378807.96955501
"35" 335559.807680135 378187.069844671
"36" 336080.074814759 378610.291291016
"37" 336284.841871605 378938.540224218
"38" 335691.465529077 378191.345100676
"39" 335811.031455721 378909.574658403
"40" 336250.030180469 378145.914185586
"41" 335846.707315586 378145.599739043
"42" 335858.538307687 378746.017897971
"43" 335728.464343853 378103.357385677
"44" 336375.431884787 378668.796772975
"45" 336255.680076502 378957.086730758
"46" 336159.759192031 378573.443044173
"47" 336257.581750237 378600.028611911
"48" 335675.788396317 378227.589125291
"49" 335988.461041113 378579.922580251
"50" 336015.328572872 378503.222784852
"51" 335727.724084655 378763.702519032
"52" 335831.299243998 378484.729903271
"53" 335676.238627257 378076.275205322
"54" 335821.352470738 378297.24515818
"55" 336373.159096902 378891.791952625
"56" 335937.695392685 377917.886271349
"57" 336551.670502865 378688.700916959
"58" 336161.256662937 378458.506029162
"59" 335806.832354351 378650.214447135
"60" 336197.264420093 378201.052027594
"61" 336219.581364475 378543.814617229
"62" 336084.951215171 378716.376573143
"63" 335922.966055164 378827.838850863
"64" 336012.963494919 378060.035321579
"65" 335775.72350254 378190.310647987
"66" 336121.840849511 378511.506422868
"67" 336319.239121072 378941.313335659
"68" 335731.210333308 378265.803733866
"69" 335809.112503788 378004.983006372
"70" 335823.415459984 378729.771325684
"71" 336437.894405147 378815.68083928
"72" 335990.476051864 378594.427523709
"73" 335789.569335185 377970.089936168
"74" 336155.960106461 378007.746150265
"75" 335874.10915976 377965.429208527
"76" 336343.559364406 378289.802609893
"77" 335695.359949713 378856.36216726
"78" 336263.5144148 378553.647940739
"79" 336295.35433516 378525.923428714
"80" 335855.059477988 378159.029806155
"81" 335834.605690025 378307.429854749
"82" 336446.99548656 378423.734127533
"83" 336291.838323593 379014.77771182
"84" 336302.471337222 378961.274082509
"85" 335905.953296847 377963.316015117
"86" 336317.614394408 378341.890410154
"87" 336377.708057584 378443.566815662
"88" 336233.534117703 378901.342492992
"89" 335940.300894204 378385.413367842
"90" 336280.693606052 378826.038172388
"91" 336358.149962226 378881.293126855
"92" 336255.213835926 378796.508251929
"93" 336197.375662472 378760.584206742
"94" 336031.026607331 378847.290728567
"95" 335815.082469514 378536.603728151
"96" 336310.960815781 378482.45411629
"97" 336105.407153425 378644.970669822
"98" 336034.716966183 378787.059617143
"99" 335538.992389943 378165.106605058
"100" 335984.430608322 377950.200627768
"101" 336106.762734563 378575.029667206
"102" 336274.332669425 378751.126882187
"103" 335923.241231788 378753.070354601
"104" 335896.083180618 378321.822398882
"105" 336252.175897526 378471.074952227
"106" 335720.145320542 378032.90473877
"107" 335694.526527453 378871.065741435
"108" 335719.380032514 378200.693694481
"109" 335881.695549221 378792.735594234
"110" 336491.220731406 378706.024082253
"111" 336271.552526877 378217.635810909
"112" 335890.53773992 378673.097230964
"113" 336516.421130892 378565.924312973
"114" 336133.549554284 378677.114365111
"115" 335590.161496485 378199.969846005
"116" 336251.98180355 378411.052008597
"117" 336111.240214535 378950.4208553
"118" 336224.545892884 378543.417605549
"119" 336028.222954334 378637.119298011
"120" 336055.389726462 378720.315554479
"121" 336544.566351887 378637.604492706
"122" 336169.803303402 378772.354989997
"123" 335956.710271985 378698.843229545
"124" 336395.202536776 378961.700590731
"125" 335900.63962664 378147.009952826
"126" 336300.245088566 378171.279463085
"127" 336221.710251062 378351.218293202
"128" 336258.414346421 378948.86726888
"129" 335997.796574393 378071.510228296
"130" 335930.667340202 377972.749708732
"131" 336151.850787234 378522.164322442
"132" 335770.663936802 378411.248011817
"133" 336054.10947789 378331.41477441
"134" 335773.474087092 378331.543652592
"135" 336078.21157099 377967.902514949
"136" 335850.849528827 378445.624334735
"137" 336027.651023553 378340.576248244
"138" 336185.708116458 378393.030362444
"139" 335806.234012374 378101.020931592
"140" 335980.421765542 378471.011940739
"141" 336469.469669487 378465.837860557
"142" 336257.630947381 378912.108941439
"143" 335863.537131443 377933.861580811
"144" 336405.020602781 378556.143454994
"145" 335836.53345875 378774.042460418
"146" 336471.328320927 378752.616746726
"147" 335893.659753556 378505.395720898
"148" 335849.418024393 378132.13477971
"149" 336176.91405799 377960.491743771
"150" 335750.731863234 378346.56454389
"151" 336330.577431203 378421.764509522
"152" 336150.743539769 378282.35289705
"153" 336029.910577264 378541.171401841
"154" 335668.006577434 378294.259288511
"155" 336313.921040722 378577.680380155
"156" 336291.084324344 378675.697666417
"157" 336114.731845404 378037.409863932
"158" 336287.967057271 378267.289259177
"159" 336271.774175078 378483.406516404
"160" 335630.31136406 378100.839814428
"161" 335778.726639715 378183.991699032
"162" 336476.165563379 378825.882687389
"163" 336089.523438979 377935.884574607
"164" 336026.87890281 378487.604518541
"165" 336040.109070107 378625.745089874
"166" 335707.753897076 378214.26779386
"167" 335984.412523016 378454.785133566
